stamp,x,y,z,qw,qx,qy,qz
1642399577.962692112,,,,,,,
1642399578.193763952,,,,,,,
1642399578.596018992,,,,,,,
1642399578.847020581,,,,,,,
1642399579.120516472,,,,,,,
1642399579.680492326,,,,,,,
1642399580.383547999,,,,,,,
1642399581.143093445,0.016141,0.159882,-0.167041,0.656276,-0.747709,0.081013,-0.060585
1642399581.757405055,0.015497,0.158445,-0.163352,0.656221,-0.747762,0.080668,-0.060977
1642399582.392328087,0.013357,0.156539,-0.171426,0.656300,-0.747711,0.081094,-0.060195
1642399583.040362556,0.011187,0.157986,-0.184170,0.656266,-0.747681,0.081435,-0.060467
1642399583.498664033,0.020819,0.151442,-0.172789,0.656267,-0.747733,0.080658,-0.060863
1642399583.983395808,0.032653,0.133641,-0.168758,0.655234,-0.748492,0.082073,-0.060755
1642399584.542912231,0.034544,0.131922,-0.167299,0.656489,-0.747510,0.081277,-0.060373
1642399585.089516486,0.037387,0.132562,-0.159313,0.654141,-0.749403,0.083096,-0.059923
1642399585.658229308,0.046145,0.129526,-0.157256,0.652649,-0.750664,0.084081,-0.059014
1642399586.255155751,0.033193,0.138296,-0.159152,0.652624,-0.750680,0.084170,-0.058966
1642399586.755342326,0.030075,0.143234,-0.153558,0.652668,-0.750634,0.084223,-0.058992
1642399587.226822599,0.036384,0.146174,-0.189539,0.652411,-0.750742,0.084846,-0.059557
1642399587.762485917,0.033337,0.140558,-0.198572,0.652931,-0.750281,0.084889,-0.059621
1642399588.279148779,0.036410,0.146135,-0.218351,0.652743,-0.750450,0.084840,-0.059612
1642399589.042026565,0.032475,0.138146,-0.213469,0.652324,-0.750804,0.084947,-0.059588
1642399589.538761342,0.039250,0.140998,-0.225514,0.652801,-0.750401,0.084877,-0.059552
1642399589.874004334,0.034194,0.143799,-0.215113,0.652455,-0.750701,0.084933,-0.059471
1642399590.372210846,0.019504,0.154378,-0.201682,0.652298,-0.750719,0.085498,-0.060149
1642399590.899725205,0.010776,0.174950,-0.176456,0.652206,-0.750800,0.085471,-0.060177
1642399591.379566312,0.016935,0.168345,-0.164339,0.652125,-0.750873,0.085421,-0.060214
1642399591.971852716,0.023435,0.172227,-0.150869,0.652034,-0.750954,0.085357,-0.060282
1642399592.435545828,0.024378,0.171464,-0.145820,0.651987,-0.750998,0.085296,-0.060338
1642399592.930969577,0.013612,0.161110,-0.191295,0.651923,-0.751055,0.085243,-0.060391
1642399593.447299955,0.012953,0.162464,-0.190581,0.651871,-0.751101,0.085219,-0.060410
1642399594.012270190,0.010286,0.161828,-0.194355,0.651801,-0.751162,0.085195,-0.060436
1642399594.430981933,0.011719,0.164600,-0.194143,0.651749,-0.751206,0.085193,-0.060453
1642399595.445766187,0.014313,0.167036,-0.182085,0.651713,-0.751241,0.085150,-0.060472
1642399595.909816521,0.012249,0.167295,-0.187169,0.651725,-0.751231,0.085136,-0.060486
1642399596.366748729,0.008172,0.166606,-0.198857,0.651710,-0.751246,0.085117,-0.060493
1642399596.926894122,0.004476,0.167447,-0.204160,0.651681,-0.751271,0.085103,-0.060513
1642399597.419530883,0.004307,0.164452,-0.206535,0.651684,-0.751267,0.085104,-0.060523
1642399598.065590537,0.001771,0.164066,-0.207436,0.651682,-0.751267,0.085118,-0.060519
1642399598.610891188,0.004640,0.162603,-0.206167,0.651657,-0.751292,0.085096,-0.060520
1642399599.267652671,0.020606,0.163477,-0.181366,0.651641,-0.751307,0.085084,-0.060521
1642399599.730971922,0.022825,0.161073,-0.174120,0.651572,-0.751236,0.085725,-0.061237
1642399600.308479152,0.018188,0.166285,-0.182396,0.651559,-0.751272,0.085662,-0.061015
1642399600.863596947,0.019288,0.167149,-0.184061,0.651637,-0.751321,0.085078,-0.060403
1642399601.438562986,0.023629,0.163070,-0.183205,0.651551,-0.751256,0.085785,-0.061125
1642399602.034826379,0.024569,0.165093,-0.182993,0.651563,-0.751215,0.085990,-0.061206
1642399602.611086038,0.022518,0.163931,-0.180239,0.651569,-0.751233,0.085900,-0.061062
1642399603.168683455,0.024815,0.167597,-0.175161,0.651542,-0.751303,0.085635,-0.060865
1642399603.703958191,0.022558,0.155359,-0.171129,0.651523,-0.751358,0.085423,-0.060679
1642399604.103883690,0.020720,0.164935,-0.188391,0.651565,-0.751275,0.085699,-0.060872
1642399604.610014293,0.023162,0.162520,-0.176532,0.651611,-0.751194,0.085967,-0.060999
1642399605.137572525,0.025896,0.159705,-0.174246,0.651645,-0.751197,0.085850,-0.060761
1642399605.646973034,0.019656,0.163036,-0.170196,0.651598,-0.751109,0.086514,-0.061412
1642399606.033518102,0.018431,0.165567,-0.171781,0.651617,-0.751064,0.086644,-0.061574
1642399606.700737604,0.018095,0.163855,-0.181760,0.651728,-0.751005,0.086792,-0.060903
1642399607.267553661,0.026951,0.166343,-0.184609,0.651717,-0.750978,0.086911,-0.061189
1642399608.033225538,0.022149,0.181267,-0.164989,0.651734,-0.750976,0.086766,-0.061240
1642399608.617129347,0.024074,0.174661,-0.174691,0.651749,-0.750961,0.086675,-0.061384
1642399609.093501856,0.024644,0.172339,-0.179495,0.651687,-0.750870,0.087356,-0.062187
1642399609.633681820,0.023408,0.177779,-0.163193,0.651707,-0.750900,0.087124,-0.061936
1642399610.050287226,0.019620,0.179869,-0.158631,0.651674,-0.750913,0.087144,-0.062108
1642399610.929257212,0.024083,0.180900,-0.170102,0.651679,-0.750917,0.087138,-0.062010
1642399611.513287648,0.023059,0.171454,-0.180471,0.651740,-0.750873,0.087164,-0.061865
1642399612.063998590,0.020300,0.173719,-0.191840,0.651744,-0.750838,0.087319,-0.062024
1642399612.608051030,0.016538,0.176058,-0.187242,0.651722,-0.750895,0.086936,-0.062113
1642399613.055963130,0.019334,0.171795,-0.192321,0.651697,-0.750886,0.087047,-0.062325
1642399613.569000624,0.018486,0.167844,-0.194831,0.651787,-0.750894,0.086664,-0.061817
1642399614.125902478,0.017572,0.168068,-0.196624,0.651851,-0.750877,0.086504,-0.061571
1642399614.675284792,0.019279,0.161440,-0.194695,0.651860,-0.750866,0.086529,-0.061567
1642399615.070000227,0.020932,0.157963,-0.192266,0.651862,-0.750857,0.086566,-0.061612
1642399615.541140399,0.021495,0.162222,-0.193940,0.651853,-0.750865,0.086540,-0.061648
1642399616.048982357,0.022499,0.156057,-0.203347,0.651857,-0.750890,0.086344,-0.061576
1642399616.529649269,0.019709,0.156658,-0.198595,0.651933,-0.750945,0.085744,-0.060936
1642399617.103479450,0.018756,0.162523,-0.188782,0.651957,-0.750915,0.085854,-0.060890
1642399617.505897148,0.021107,0.163679,-0.190464,0.651956,-0.750881,0.086085,-0.060996
1642399618.030291523,0.020783,0.165783,-0.193241,0.651982,-0.750853,0.086199,-0.060905
1642399618.606672207,0.022274,0.161383,-0.194933,0.651965,-0.750857,0.086325,-0.060861
1642399619.104130452,0.022289,0.163428,-0.193264,0.652013,-0.750839,0.086288,-0.060617
1642399619.547627315,0.021366,0.165166,-0.188130,0.651951,-0.750780,0.086830,-0.061230
1642399620.432564498,0.020353,0.160899,-0.189950,0.651932,-0.750759,0.087042,-0.061398
1642399620.975165779,0.021234,0.158574,-0.190639,0.651948,-0.750793,0.086856,-0.061075
1642399621.590297721,0.020937,0.158901,-0.188809,0.651966,-0.750786,0.086856,-0.060972
1642399622.129968172,0.021208,0.161344,-0.190489,0.651903,-0.750696,0.087567,-0.061730
1642399622.609182934,0.019725,0.162110,-0.189098,0.651888,-0.750712,0.087531,-0.061740
1642399623.633260803,0.021372,0.162393,-0.174811,0.651884,-0.750731,0.087457,-0.061664
1642399624.213191495,0.019280,0.167464,-0.182043,0.651881,-0.750713,0.087532,-0.061796
1642399624.807831567,0.020520,0.169660,-0.187095,0.651888,-0.750710,0.087512,-0.061801
1642399625.383289133,0.021978,0.166782,-0.186433,0.651872,-0.750703,0.087593,-0.061927
1642399625.935427842,0.021864,0.165409,-0.186799,0.651935,-0.750693,0.087422,-0.061628
1642399626.472916020,0.020969,0.165624,-0.191173,0.651942,-0.750649,0.087639,-0.061783
1642399626.847791275,0.018820,0.166357,-0.187713,0.651935,-0.750664,0.087617,-0.061707
1642399627.299952784,0.017599,0.167952,-0.187068,0.651938,-0.750660,0.087607,-0.061736
1642399628.530350206,0.018310,0.162479,-0.196849,0.651937,-0.750656,0.087715,-0.061640
1642399629.137270725,0.019818,0.164406,-0.186458,0.651956,-0.750640,0.087730,-0.061616
1642399629.634700873,0.022180,0.163849,-0.182065,0.651997,-0.750619,0.087669,-0.061516
