stamp,x,y,z,qw,qx,qy,qz
1642399577.962692112,,,,,,,
1642399578.193763952,,,,,,,
1642399578.596018992,,,,,,,
1642399578.847020581,,,,,,,
1642399579.120516472,,,,,,,
1642399579.680492326,,,,,,,
1642399580.383547999,,,,,,,
1642399581.143093445,,,,,,,
1642399581.757405055,,,,,,,
1642399582.392328087,,,,,,,
1642399583.040362556,,,,,,,
1642399583.498664033,,,,,,,
1642399583.983395808,,,,,,,
1642399584.542912231,,,,,,,
1642399585.089516486,,,,,,,
1642399585.658229308,,,,,,,
1642399586.255155751,,,,,,,
1642399586.755342326,,,,,,,
1642399587.226822599,,,,,,,
1642399587.762485917,,,,,,,
1642399588.279148779,,,,,,,
1642399589.042026565,,,,,,,
1642399589.538761342,,,,,,,
1642399589.874004334,,,,,,,
1642399590.372210846,,,,,,,
1642399590.899725205,,,,,,,
1642399591.379566312,,,,,,,
1642399591.971852716,,,,,,,
1642399592.435545828,,,,,,,
1642399592.930969577,,,,,,,
1642399593.447299955,,,,,,,
1642399594.012270190,,,,,,,
1642399594.430981933,,,,,,,
1642399595.445766187,,,,,,,
1642399595.909816521,,,,,,,
1642399596.366748729,,,,,,,
1642399596.926894122,,,,,,,
1642399597.419530883,,,,,,,
1642399598.065590537,,,,,,,
1642399598.610891188,,,,,,,
1642399599.267652671,,,,,,,
1642399599.730971922,,,,,,,
1642399600.308479152,,,,,,,
1642399600.863596947,,,,,,,
1642399601.438562986,,,,,,,
1642399602.034826379,,,,,,,
1642399602.611086038,,,,,,,
1642399603.168683455,,,,,,,
1642399603.703958191,,,,,,,
1642399604.103883690,,,,,,,
1642399604.610014293,,,,,,,
1642399605.137572525,,,,,,,
1642399605.646973034,,,,,,,
1642399606.033518102,,,,,,,
1642399606.700737604,,,,,,,
1642399607.267553661,,,,,,,
1642399608.033225538,,,,,,,
1642399608.617129347,,,,,,,
1642399609.093501856,,,,,,,
1642399609.633681820,,,,,,,
1642399610.050287226,,,,,,,
1642399610.929257212,,,,,,,
1642399611.513287648,,,,,,,
1642399612.063998590,,,,,,,
1642399612.608051030,,,,,,,
1642399613.055963130,,,,,,,
1642399613.569000624,10.16249519,-2.943469464,45.54214496,0.5148897409,0.6677461217,0.5023445214,-0.191451439
1642399614.125902478,,,,,,,
1642399614.675284792,,,,,,,
1642399615.070000227,,,,,,,
1642399615.541140399,,,,,,,
1642399616.048982357,,,,,,,
1642399616.529649269,,,,,,,
1642399617.103479450,,,,,,,
1642399617.505897148,,,,,,,
1642399618.030291523,,,,,,,
1642399618.606672207,,,,,,,
1642399619.104130452,,,,,,,
1642399619.547627315,,,,,,,
1642399620.432564498,,,,,,,
1642399620.975165779,,,,,,,
1642399621.590297721,,,,,,,
1642399622.129968172,,,,,,,
1642399622.609182934,,,,,,,
1642399623.633260803,,,,,,,
1642399624.213191495,,,,,,,
1642399624.807831567,,,,,,,
1642399625.383289133,,,,,,,
1642399625.935427842,,,,,,,
1642399626.472916020,,,,,,,
1642399626.847791275,,,,,,,
1642399627.299952784,,,,,,,
1642399628.530350206,,,,,,,
1642399629.137270725,,,,,,,
1642399629.634700873,,,,,,,
1642399630.229922426,,,,,,,
1642399630.834581149,,,,,,,
1642399631.299276261,,,,,,,
1642399631.791998016,,,,,,,
1642399632.288310227,,,,,,,
1642399632.774359239,,,,,,,
1642399633.322645504,,,,,,,
1642399633.990272116,,,,,,,
1642399634.516317076,,,,,,,
1642399635.066144453,,,,,,,
1642399635.539344561,,,,,,,
1642399636.046992787,,,,,,,
1642399636.511943936,,,,,,,
1642399637.151937351,,,,,,,
1642399637.711327180,,,,,,,
1642399638.297005961,,,,,,,
1642399638.846166448,,,,,,,
1642399639.362612251,,,,,,,
1642399640.193450579,,,,,,,
1642399641.391318888,,,,,,,
1642399641.921821453,,,,,,,
1642399642.452057454,,,,,,,
1642399643.001405335,,,,,,,
1642399643.570060972,,,,,,,
1642399644.067872054,,,,,,,
1642399644.878106446,,,,,,,
1642399645.428788588,,,,,,,
1642399645.937169018,,,,,,,
1642399646.516598294,,,,,,,
1642399647.459364086,,,,,,,
1642399648.450636007,,,,,,,
1642399649.009840329,,,,,,,
1642399649.490237701,,,,,,,
1642399650.062718965,,,,,,,
1642399650.593303516,,,,,,,
1642399651.150934854,,,,,,,
1642399651.714950771,,,,,,,
1642399652.254676295,,,,,,,
1642399652.628684560,,,,,,,
1642399653.222835665,,,,,,,
1642399653.829795288,,,,,,,
1642399654.328499568,,,,,,,
1642399654.689373517,,,,,,,
1642399655.312350061,,,,,,,
1642399655.836470287,,,,,,,
1642399656.298327819,,,,,,,
1642399656.824038886,,,,,,,
1642399657.295787548,,,,,,,
1642399657.753520344,,,,,,,
1642399658.126432945,,,,,,,
1642399658.776371410,,,,,,,
1642399659.295901133,,,,,,,
1642399659.872031830,,,,,,,
1642399660.318120222,,,,,,,
1642399660.901835004,,,,,,,
1642399661.442142073,,,,,,,
1642399661.999362877,,,,,,,
1642399662.498522076,,,,,,,
1642399663.012347390,,,,,,,
1642399663.539866229,,,,,,,
1642399664.095752676,,,,,,,
1642399664.675819338,,,,,,,
1642399665.265644455,,,,,,,
1642399665.748421704,,,,,,,
1642399666.248403636,,,,,,,
1642399666.716154155,,,,,,,
1642399667.413616238,,,,,,,
1642399667.903967204,,,,,,,
1642399668.493438428,,,,,,,
1642399668.903884731,,,,,,,
1642399669.378800194,,,,,,,
1642399669.785831180,,,,,,,
1642399670.508514550,,,,,,,
1642399671.137825144,,,,,,,
1642399671.446411178,,,,,,,
1642399672.758370377,,,,,,,
1642399673.663355775,,,,,,,
1642399674.208195139,,,,,,,
1642399674.601710299,,,,,,,
1642399675.106499313,,,,,,,
1642399675.678969377,,,,,,,
1642399676.131292490,,,,,,,
1642399676.630434280,,,,,,,
1642399677.214378954,,,,,,,
1642399677.689619958,,,,,,,
1642399678.227669584,,,,,,,
1642399678.658531692,,,,,,,
1642399679.214925346,,,,,,,
1642399679.727948152,,,,,,,
1642399680.255636850,,,,,,,
1642399680.626682477,,,,,,,
1642399681.111673137,,,,,,,
1642399681.734548559,,,,,,,
1642399682.323378172,,,,,,,
1642399683.680194739,,,,,,,
1642399684.139375718,,,,,,,
1642399684.641898009,,,,,,,
1642399685.193674728,,,,,,,
1642399685.621648727,,,,,,,
1642399686.193985029,,,,,,,
1642399687.054909775,,,,,,,
1642399687.553524070,,,,,,,
1642399688.091145497,,,,,,,
1642399688.626195653,,,,,,,
1642399689.059438117,,,,,,,
1642399689.520520917,,,,,,,
1642399690.082266815,,,,,,,
1642399690.721362233,,,,,,,
1642399691.888732597,,,,,,,
1642399692.482516528,,,,,,,
1642399693.011188824,,,,,,,
1642399693.844773211,,,,,,,
1642399694.334729387,,,,,,,
1642399695.603085445,,,,,,,
1642399696.069454536,,,,,,,
1642399696.575412432,,,,,,,
1642399697.136233387,,,,,,,
1642399697.682402179,,,,,,,
1642399698.177562916,,,,,,,
1642399698.706847831,,,,,,,
1642399699.231998889,,,,,,,
1642399699.663660592,,,,,,,
1642399700.180637476,,,,,,,
1642399700.686270055,,,,,,,
1642399701.218199074,,,,,,,
1642399701.751688406,,,,,,,
1642399702.252794259,,,,,,,
1642399702.767032444,,,,,,,
1642399703.229087323,,,,,,,
1642399703.634795792,,,,,,,
1642399704.448485758,,,,,,,
1642399705.266844980,,,,,,,
1642399705.779216736,,,,,,,
1642399706.238503765,,,,,,,
1642399706.736745381,,,,,,,
1642399707.312598282,,,,,,,
1642399707.841775642,,,,,,,
1642399708.466147887,,,,,,,
1642399709.107885138,,,,,,,
1642399709.648084558,,,,,,,
1642399710.125289112,,,,,,,
1642399710.510046920,,,,,,,
1642399711.009267560,,,,,,,
1642399711.602453465,,,,,,,
1642399712.165541112,,,,,,,
1642399712.865087611,,,,,,,
1642399713.261769413,,,,,,,
1642399713.741523574,,,,,,,
1642399714.301978380,,,,,,,
1642399714.776282505,,,,,,,
1642399715.342294229,,,,,,,
1642399715.846904297,,,,,,,
1642399716.343030649,,,,,,,
1642399716.801638210,,,,,,,
1642399717.476109281,,,,,,,
1642399718.001626905,,,,,,,
1642399718.461193041,,,,,,,
1642399719.002685409,,,,,,,
1642399719.665817935,,,,,,,
1642399720.072942939,,,,,,,
1642399720.607750882,,,,,,,
1642399721.199678176,,,,,,,
1642399721.601647228,,,,,,,
1642399722.373369854,,,,,,,
1642399722.839200440,,,,,,,
1642399723.265703248,,,,,,,
1642399723.688973910,,,,,,,
1642399724.207113851,,,,,,,
1642399724.804063591,,,,,,,
